u,x,phi,f,h,phiprime,A0prime,X,f2phi,f2X,f2F,f2Y,f3,f3X,f3XX,f4,f4X,f4XX,f4XXX,tf4,f2XX,f2XF,f2XY,f2FF,f2FY,f2YY
0.7144535714285714,1.3996710772968357,0.859434185734554,0.2892266967752782,0.408707306326864,-1.244994885480989,0.0004565915487551,-0.3167506687750904,1.4006985547877373,-0.2767279586830459,593755.4882440823,468630.01916774677,-0.0022534524682953,-0.0132926402836672,20103212.088943128,-0.0015565980850402,0.0005879658023167,2.4189957643670867,110836917.96086222,0.0,0.00032305181607389664,-1885362.7929011069,-8557.657601462584,7163399.05091664,6455772.228758239,5124187.476996982
0.7144499999999999,1.3996780740429702,0.8594254747173902,0.2892294067140796,0.4086906544379368,-1.245024613236611,0.0004849727418197,-0.3167528896501003,1.468416717251128,-0.3111990763218999,591974.9084956391,467221.3952042179,-0.0023927456851638,-0.0141102809204942,19955260.579292238,-0.0016528008077272,0.0006243357856982,2.434145860771121,110018354.58537012,0.0,0.00035664263219635305,-1879364.9219985453,-8270.79559474395,7082938.462094131,6325522.141576607,5018765.520179645
0.7144464285714286,1.3996850708590567,0.8594167634050685,0.289232116782791,0.4086740039801592,-1.2450543803942047,0.0005147235381084,-0.3167551308114739,1.5383489588395027,-0.34943122958044304,590198.1188265086,465815.75249213557,-0.0025387034694983,-0.0149667442863086,19805237.67260704,-0.00175360524053,0.0006624478154738,2.4480014110354307,109188537.43897569,0.0,0.00039169491468294407,-1873391.3200544864,-7993.679858272881,6998931.302010538,6196395.039275571,4914386.851019204
0.7144428571428572,1.399692067745096,0.8594080517971882,0.2892348269815424,0.4086573549504932,-1.245084177894991,0.0005458890178652,-0.3167573876467363,1.6105496090657512,-0.3917740473731564,588425.1065106099,464413.08795680286,-0.002691541730554,-0.0158632698251842,19653259.038783073,-0.0018591603808633,0.0007023584398914,2.460601747478177,108348099.68795092,0.0,0.0004282359938415776,-1867441.6718384472,-7726.071195132724,6911553.593010949,6068410.119701881,4811061.80656489
0.7144392857142857,1.3996990647010892,0.8593993398938272,0.289237537310314,0.4086407073494425,-1.2451139484822369,0.0005785148911432,-0.3167596310231442,1.685042937391592,-0.43860362721863294,586655.8135138125,463013.3985236542,-0.0028514790648196,-0.016801110876927,19499440.34772983,-0.0019696170855261,0.0007441249245348,2.4719862024162085,107497674.49864513,0.0,0.0004662931999769167,-1861515.6621205017,-7467.730408432808,6820981.35744823,5941586.580714345,4708800.723875686
0.7144357142857143,1.3997060617270374,0.8593906276951181,0.2892402477690692,0.4086240611779138,-1.2451437014166113,0.0006126474821357,-0.3167618656539949,1.7618487815965391,-0.4903240379598533,584890.2449495704,461616.68111808016,-0.0030187367859219,-0.0177815352305973,19343897.269352198,-0.0020851280839947,0.0007878052545609,2.4821941081668233,106637895.0373819,0.0,0.0005058938633946908,-1855612.9756705381,-7218.418301273698,6727390.617672694,5815943.620167742,4607613.94000731
0.7144321428571428,1.3997130588229414,0.8593819152011931,0.289242958357771,0.4086074164368141,-1.2451734335904954,0.0006483337131199,-0.3167640899594435,1.840997199800429,-0.5473688593337055,583128.394240167,460222.932665471,-0.0031935388559456,-0.0188058247505791,19186745.473555025,-0.0022058479299288,0.0008334581161524,2.4912647970473203,105769394.47048488,0.0,0.0005470653144006293,-1849733.2972584437,-6977.895676755958,6630957.396034648,5691500.4359168485,4507511.792015484
0.7144285714285714,1.3997200559888023,0.8593732024121845,0.2892456690763827,0.4085907731270499,-1.2452031485094122,0.0006856210880532,-0.3167663057243766,1.922519605671951,-0.610202775434634,581370.261017698,458832.1500912175,-0.0033761117990411,-0.0198752748411313,19028100.6302432,-0.0023319329414956,0.0008811428741685,2.499237601374999,104892805.96427771,0.0,0.0005898348833004618,-1843876.3116541062,-6745.923337980159,6531857.714884407,5568276.225816448,4408504.6169559285
0.714425,1.399727053224621,0.8593644893282245,0.2892483799248678,0.4085741312495282,-1.2452328350728317,0.0007245576758327,-0.3167685073024405,2.006431796928963,-0.6793232133400788,579615.8312762656,457444.33032071,-0.0035666846134601,-0.020991193902249,18868078.409321584,-0.002463541140617,0.0009309195493826,2.5061518534671583,104008762.68508402,0.0,0.0006342299003999178,-1838041.7036274138,-6522.262088046859,6430267.596572282,5446290.187721312,4310602.751884364
0.7144214285714285,1.3997340505303992,0.8593557759494214,0.2892510909031969,0.4085574908049754,-1.245262544580996,0.0007651920932503,-0.3167707207946239,2.0927427445785303,-0.7552620367520746,577865.1490490722,456059.4702793391,-0.0037654886936071,-0.0221549028857751,18706794.480695043,-0.0026008321983915,0.0009828487977413,2.512046885641097,103117897.79922745,0.0,0.000680277696004727,-1832229.157948254,-6306.672730056628,6326363.06344858,5325561.5194862215,4213816.533856511
0.7144178571428571,1.3997410479061374,0.8593470622754076,0.2892538020114897,0.4085408517905954,-1.2452922970596985,0.0008075734876645,-0.3167729563864606,2.181508137261696,-0.8385872749738974,576118.2288454988,454677.5668924953,-0.0039727579660148,-0.0233677368792052,18544364.514268454,-0.0027439675141254,0.001036991934318,2.5169620302141142,102220844.4730316,0.0,0.0007280056004206185,-1826438.3593865146,-6098.916067110031,6220320.137863616,5206109.418965955,4118156.299928089
0.7144142857142857,1.3997480453518367,0.8593383483061172,0.2892565132497714,0.4085242142058288,-1.2453220357872379,0.000851751519408,-0.3167751852196899,2.272758116047539,-0.9299048947737665,574375.0141569452,453298.6170855692,-0.0041887284552426,-0.024631041307844,18380904.179946687,-0.0028931099380896,0.0010934108379381,2.520936619503509,101318235.87282018,0.0,0.0007774409439533225,-1820668.9927120842,-5898.752902307633,6112314.842167701,5087953.08401529,4023632.3871548213
0.7144107142857142,1.3997550428674983,0.8593296340416829,0.2892592246180053,0.4085075780515823,-1.2453517533075584,0.0008977763439589,-0.316777403502322,2.3664979809956286,-1.0298606352471884,572635.4944236702,451922.6177839512,-0.004413638211567,-0.0259461715574423,18216529.147634607,-0.0030484237202307,0.0011521679314149,2.52400998582658,100410705.16491675,0.0,0.0008286110569085681,-1814920.74269485,-5705.94403875,6002523.198711144,4971111.712489006,3930255.132592426
0.7144071428571428,1.399762040453123,0.859320919482237,0.2892619361161545,0.408490943328763,-1.245381451205157,0.0009456985938946,-0.3167796120417973,2.462750298791847,-1.1391418733674372,570899.6674577353,450549.5659130318,-0.0046477273053464,-0.0273144932322161,18051355.08723708,-0.0032100745005108,0.0012133261756934,2.5262214615006267,99498885.515645,0.0,0.0008815432695920848,-1809193.294104699,-5520.250279537695,5891121.229844255,4855604.502241879,3838034.8732966236
0.7144035714285714,1.3997690381087122,0.8593122046279119,0.2892646477441822,0.408474310038278,-1.2454111305306559,0.0009955693606494,-0.3167818113739102,2.561538557304578,-1.258479533343474,569167.5305645753,449179.4583982017,-0.0048912377323867,-0.0287373815757873,17885497.668658987,-0.003378229243591,0.0012769490453291,2.5276103788429474,98583410.09132855,0.0,0.0009362649123096019,-1803486.331711521,-5341.432427771288,5778284.957917349,4741450.651128688,3746981.9463231363
0.7143999999999999,1.3997760358342666,0.8593034894788398,0.2892673595020518,0.4084576781810341,-1.24544078566665,0.0010474401760998,-0.3167839986423285,2.6628806396800786,-1.3886500371408488,567439.0749609643,447812.2921648512,-0.005144413318544,-0.0302162208882562,17719072.56180519,-0.0035530561729996,0.0013431005037666,2.528216070170841,97664912.05829097,0.0,0.0009928033153668494,-1797799.5402852017,-5169.251286551339,5664190.405280733,4628669.35700421,3657106.688727682
0.7143964285714285,1.3997830336297876,0.8592947740351534,0.2892700713897262,0.4084410477579384,-1.2454704378695476,0.0011013629939956,-0.3167861846616558,2.7667672702588293,-1.5304772991836415,565714.316338717,446448.0641383709,-0.0054074996236563,-0.0317524039399392,17552195.43658056,-0.0037347247048457,0.0014118449784417,2.528077867801608,96744024.582856,0.0,0.001051185809069557,-1792132.6045956304,-5003.4676589784185,5549013.59428472,4517279.817723224,3568419.4375659837
0.7143928571428572,1.3997900314952756,0.8592860582966874,0.289272783407262,0.408424418767693,-1.2455001354796802,0.0011573901712571,-0.3167883940214482,2.8732326291870893,-1.6848347579626168,563993.2946773907,445086.7712441936,-0.0056807440611878,-0.0333473334234392,17384981.962895162,-0.0039234055161517,0.0014832473808534,2.527235104052582,95821380.83137588,0.0,0.001111439723721551,-1786485.2094128693,-4843.842348157957,5432930.54728324,4407301.231143906,3480930.529896462
0.7143892857142857,1.3997970294307325,0.8592773422631523,0.2892754955547543,0.4084077912080792,-1.2455298445518947,0.0012155744491663,-0.3167906094515711,2.9823336007461685,-1.8526474273584594,562275.975124427,443728.41040762526,-0.005964395721116,-0.0350024206061619,17217547.81064348,-0.0041192704279779,0.0015573730647483,2.52572711124101,94897613.97011696,0.0,0.0011735923896323075,-1780857.0395064554,-4690.136157180602,5316117.286619384,4298752.795114193,3394650.3027693974
0.7143857142857143,1.399804027436159,0.8592686259346777,0.2892782078321673,0.408391165079982,-1.2455595259688972,0.0012759689344482,-0.316792811054521,3.094062981197545,-2.0348940016767214,560562.3185543907,442372.9785540986,-0.0062587048655105,-0.0367190808975286,17050008.649735574,-0.0043224920841745,0.0016342877159487,2.523593221684206,93973357.16543147,0.0,0.001237671137105711,-1775247.7796464525,-4542.10988915198,5198749.83464706,4191653.7074923073,3309589.093243249
0.7143821428571429,1.399811025511556,0.8592599093113961,0.2892809202394641,0.4083745403843084,-1.245589189828279,0.0013386270802931,-0.3167950039681396,3.208425083384716,-2.2326089988277746,558852.3304370922,441020.47260900424,-0.0065639231048478,-0.0384987358422204,16882480.150076304,-0.0045332440550214,0.0017140573841631,2.520872767699469,93049243.58364305,0.0,0.0013037032964474918,-1769657.1146027483,-4399.524347172652,5081004.213716575,4086023.166133025,3225757.2383737382
0.7143785714285714,1.3998180236569246,0.8592511923934397,0.289283632776608,0.4083579171219657,-1.2456188332674456,0.0014036026673143,-0.3167971867376156,3.325438052595929,-2.446884916815774,557146.0045359307,439670.88949773274,-0.0068803033023684,-0.0403428125476747,16715077.981570546,-0.0047517007711348,0.0017967484580735,2.517605081604098,92125906.39107534,0.0,0.001371716197963379,-1764084.7291452307,-4262.140334343185,4963056.446178243,3981880.3688911237,3143165.075216584
0.714375,1.399825021872266,0.8592424751809409,0.2892863454435622,0.408341295293861,-1.2456484578329794,0.0014709497844666,-0.3167993601509633,3.44512282489178,-2.678874429412333,555443.3385772732,438324.2261456746,-0.0072080994761907,-0.0422527430914089,16547917.814123174,-0.0049780374559763,0.0018824276399483,2.513829495715392,91203978.75405198,0.0,0.0014417371719591023,-1758530.308043788,-4129.718653764145,4845082.5543823745,3879244.5136213843,3061822.940827509
0.7143714285714285,1.3998320201575811,0.8592337576740325,0.2892890582402898,0.4083246749009013,-1.2456780601085915,0.0015407228099423,-0.316801522471824,3.567457421872827,-2.929792605054012,553744.32585732,436980.4794782202,-0.0075475667013992,-0.0442299639287931,16381115.31763905,-0.0052124300583556,0.001971161920248,2.50958534235065,90284093.8388966,0.0,0.0015137935487403908,-1752993.5360683068,-4002.020108536095,4727258.560679278,3778134.7981785815,2981741.172262232
0.7143678571428571,1.399839018512871,0.8592250398727349,0.289291771166789,0.4083080559431664,-1.2457076999997345,0.0016129763920637,-0.3168037041708094,3.692437812031323,-3.2009191645632202,552049.015831293,435639.6464207601,-0.0078989611229105,-0.0462759163452069,16214786.162023045,-0.005455055254042,0.0020630185752961,2.50491195382717,89366884.81193285,0.0,0.0015879126586129755,-1747474.0979886753,-3878.805501759604,4609760.487419268,3678570.420417495,2902930.1065764735
0.7143642857142857,1.3998460169381368,0.8592163217766412,0.289294484223192,0.4082914384175632,-1.2457373726935328,0.0016877654301826,-0.3168059027967207,3.8201515659146255,-3.4936007308419534,550357.4001092594,434301.7238986851,-0.0082625402171468,-0.0483920492568367,16049046.017180035,-0.0057060906026117,0.0021580652167517,2.4998486624622527,88452984.83948438,0.0,0.0016641218318825843,-1741971.6785747823,-3759.835636535235,4492764.356952654,3580570.5781929027,2825400.0808259547
0.7143607142857142,1.3998530154333797,0.8592076033858129,0.289297197409484,0.4082748223244709,-1.2457670198303423,0.0017651450556066,-0.316808088666513,3.950592951529421,-3.8092531091629778,548669.4231929608,432966.7088373854,-0.008638561828759,-0.0505798104654381,15884010.553014886,-0.0059657139402815,0.0022563695860653,2.4944348005731967,87543027.08787477,0.0,0.0017424483988549473,-1736485.962596515,-3644.8713159635545,4376446.191629747,3484154.4693595837,2749161.432066397
0.7143571428571428,1.3998600139986002,0.859198884700382,0.2892999107256283,0.4082582076647967,-1.2457966489813141,0.0018451706125667,-0.3168102656324026,4.083739855909357,-4.149363616996337,546985.0881177835,431634.5981622515,-0.0090272844115832,-0.0528406492558598,15719795.439432463,-0.0062341035238239,0.0023579995996735,2.4887097004773,86637644.72342765,0.0,0.0018229196898357938,-1731016.6348237605,-3533.6733431451275,4260982.013800857,3389341.2917723143,2674224.4973535184
0.7143535714285714,1.3998670126338,0.8591901657204813,0.2893026241715882,0.4082415944394481,-1.2458262573385777,0.0019278976392385,-0.316812432267595,4.2196057834348,-4.515493392272058,545304.3887498445,430305.38879867416,-0.0094289669992997,-0.0551760164492351,15556516.346337643,-0.0065114380059591,0.0024630233379303,2.482712694491862,85737470.91246675,0.0,0.0019055630351308543,-1725563.3800264075,-3426.00252118052,4146547.845816297,3296150.2432858734,2600599.6137430416
