u,x,cminus,cplus,c55,c56,disc,cV,alpha7
0.7095911477869468,1.4092622253233744,-1989.4359926059979,-1989.4359926059979,-3978.8719852119957,6531643.646537894,-10295152.31144673,0.04031686399193693,13.15123832369727
0.7095648912228056,1.4093143733150078,-1973.935015164288,-1973.935015164288,-3947.870030328576,6416966.953506298,-10082190.037658643,0.04044152933197876,13.12594540611221
0.7095386346586646,1.4093665251661267,-1902.9148540066335,-1902.9148540066335,-3805.829708013267,6004978.798420108,-9535575.427284082,0.04056620294040982,13.100793747714103
0.7095123780945236,1.4094186808771596,-1830.4842428390652,-1830.4842428390652,-3660.9684856781305,5594414.909426988,-8974969.384579528,0.04069097771431086,13.075762393990638
0.7094861215303826,1.4094708404485352,-1766.813078730963,-1766.813078730963,-3533.626157461926,5237567.773686085,-8463757.274045203,0.04081595493678595,13.050829072290778
0.7094598649662416,1.4095230038806823,-1697.9300155092503,-1697.9300155092503,-3395.8600310185006,4857372.483150444,-7897624.582332803,0.04094123686389416,13.025971783226845
0.7094336084021005,1.4095751711740292,-1639.9011778396243,-1639.9011778396243,-3279.8023556792486,4537805.032474648,-7394116.637579445,0.04106692970035603,13.001168178376451
0.7094073518379594,1.4096273423290049,-1649.2089646434658,-1649.2089646434658,-3298.4179292869317,4578294.222705261,-7433616.054579554,0.04119313158479612,12.976398068953939
0.7093810952738184,1.4096795173460377,-1696.7375358197976,-1696.7375358197976,-3393.475071639595,4822215.324251914,-7773188.235168302,0.04131983132544603,12.951664265240582
0.7093548387096774,1.409731696225557,-1721.3619408619875,-1721.3619408619875,-3442.723881723975,4942706.728797657,-7918479.189398035,0.04144694589214104,12.926984238504936
0.7093285821455364,1.4097838789679915,-1741.0184146100635,-1741.0184146100635,-3482.036829220127,5035712.5030526,-8018269.532165043,0.04157443249060495,12.902366858942848
0.7093023255813953,1.4098360655737707,-1765.2485579853524,-1765.2485579853524,-3530.4971159707047,5151485.422121295,-8141531.802607715,0.04170224024508255,12.877822440570604
0.7092760690172543,1.4098882560433228,-1790.4011222561057,-1790.4011222561057,-3580.8022445122115,5270110.797122057,-8258298.474184535,0.04183032069844103,12.85336057923322
0.7092498124531132,1.4099404503770772,-1786.3278339389462,-1786.3278339389462,-3572.6556678778925,5233598.291245342,-8170524.643761339,0.04195861767929281,12.828992201629498
0.7092235558889722,1.4099926485754632,-1750.4520120882958,-1750.4520120882958,-3500.9040241765915,5032281.964575598,-7872798.87180654,0.04208711954088582,12.804719118365087
0.7091972993248312,1.41004485063891,-1733.766694861786,-1733.766694861786,-3467.533389723572,4932893.181566221,-7707784.917417038,0.04221587569971151,12.780530992805994
0.7091710427606901,1.4100970565678472,-1731.2232121210327,-1731.2232121210327,-3462.4464242420654,4907269.832977563,-7640544.091163589,0.0423448984400012,12.756425023517298
0.7091447861965491,1.4101492663627035,-1722.2268300745231,-1722.2268300745231,-3444.4536601490463,4848597.437571026,-7530128.733369945,0.042474185936213084,12.732401229218619
0.7091185296324081,1.4102014800239089,-1719.3622530367586,-1719.3622530367586,-3438.724506073517,4821768.654525123,-7462248.389429936,0.04260373862987448,12.70845918007867
0.709092273068267,1.410253697551893,-1706.5431889603287,-1706.5431889603287,-3413.0863779206575,4744259.561080856,-7327879.621175872,0.04273355606009184,12.684598624481632
0.709066016504126,1.4103059189470843,-1669.6644906926904,-1669.6644906926904,-3339.3289813853808,4545550.34611568,-7031083.338542396,0.0428636440687761,12.660818092606702
0.7090397599399849,1.410358144209914,-1662.9806779322216,-1662.9806779322216,-3325.9613558644432,4501544.28540584,-6944158.200919714,0.04299405906570821,12.637106425763989
0.7090135033758439,1.4104103733408104,-1692.807605474768,-1692.807605474768,-3385.615210949536,4641759.95556769,-7104649.465657886,0.04312480211217,12.613463275022166
0.7089872468117029,1.4104626063402042,-1719.666644491699,-1719.666644491699,-3439.333288983398,4765061.539238013,-7231232.684242697,0.043255811811415315,12.589900161733445
0.7089609902475619,1.4105148432085246,-1740.2698912673254,-1740.2698912673254,-3480.539782534651,4854896.6722178925,-7305429.511065215,0.04338703179509224,12.566427403337663
