u,x,phi,A0prime,f3,f4,N4,tilde_f3_reserve,JAres,alpha4,alpha6,alpha7,Codd,odd_angular_margin_lb
0.6655301834510778,1.5025614538089669,0.7291057563948212,0.018635784512261593,0.11706215048309489,-0.3726360833156793,-0.014918898682886522,0.0,6.418476861114186e-17,2.4796438462587647,-0.03705805170955103,0.33122037319522235,0.055136197024368255,1.3248814927808894
0.6655546861645469,1.5025061362918075,0.729169089938633,0.01863711530391448,0.1170459476267216,-0.37259336968677814,-0.014918587821061667,0.0,6.765421556309548e-17,2.4788087541131896,-0.03705797108801244,0.33126988211587644,0.05513142390539769,1.3250795284635057
0.6655791860918525,1.5024508291369498,0.7292324234824449,0.018638434874434402,0.11702976110511042,-0.372550681034195,-0.014918278752870318,0.0,4.9439619065339e-17,2.477972299660496,-0.037057892153394716,0.33131937565269115,0.05512665803873912,1.3252775026107646
0.6656023939814573,1.50239844243688,0.7292924236818455,0.018639674642493206,0.11701433068657642,-0.3725103101349403,-0.014917987537509003,0.0,6.765421556309548e-17,2.4771785472915835,-0.03705781893397269,0.3313662500751661,0.055122156787003974,1.3254650003006645
0.6656268884901049,1.5023431554401003,0.7293557572256574,0.018640972359489243,0.11699782492716644,-0.3724678219060607,-0.014917681745530468,0.0,-2.2551405187698492e-17,2.4763390183886247,-0.037057743299176764,0.3314157136517102,0.05511742749207172,1.3256628546068407
0.6656513802198089,1.502287878783912,0.7294190907694692,0.0186422588534784,0.11698101871282439,-0.37242549564522015,-0.014917377441895693,0.0,1.0408340855860843e-17,2.475497693927783,-0.03705766936549707,0.3314651618334201,0.05511272571651618,1.3258606473336805
0.66567586917302,1.5022326124609509,0.729482424313281,0.018643534123844997,0.11696399445535614,-0.37238329572736,-0.014917074629742039,0.0,9.71445146547012e-17,2.474654700447103,-0.03705759713352401,0.33151459457876736,0.05510804620521698,1.3260583783150695
0.665699066675037,1.5021802644169142,0.7295424245126817,0.018644731921077497,0.11694777317568884,-0.37234338665756117,-0.014916789281884744,0.0,2.6020852139652106e-18,2.4738546223687825,-0.037057530272740925,0.3315614113172718,0.0551036266200945,1.3262456452690872
0.6657235502284297,1.5021250181954209,0.7296057580564935,0.01864598533318751,0.11693066651560295,-0.37230128478718194,-0.014916489852305733,0.0,8.500145032286355e-17,2.4730089584198436,-0.037057461353950015,0.3316108138619643,0.05509896861489178,1.3264432554478571
0.6657480310125564,1.5020697822854536,0.7296690916003052,0.018647227519919547,0.11691369308104596,-0.37225915733915654,-0.014916192405022415,0.0,-8.239936510889834e-17,2.4721619346133084,-0.037057394136181664,0.33166020082609365,0.055094310438877074,1.3266408033043746
0.6657725090298711,1.50201455667965,0.7297324251441171,0.018648458480698134,0.11689697186255878,-0.3722169528380189,-0.01491589710633881,0.0,5.377642775528102e-17,2.471314087574007,-0.03705732861920538,0.3317095721606995,0.055089644485772964,1.326838288642798
0.6657956961804968,1.5019622471829566,0.7297924253435177,0.018649614298312498,0.11688143872845877,-0.37217686594071375,-0.014915619355091881,0.0,7.025630077706069e-17,2.470510064921739,-0.03705726811988022,0.3317563305488242,0.055085212116716756,1.3270253221952968
0.6658201688168511,1.5019070416220337,0.7298557588873296,0.01865082339641066,0.11686529332982501,-0.3721344747374598,-0.014915328139613122,0.0,-3.0357660829594124e-17,2.4696602922769606,-0.03705720592003573,0.33180567135760897,0.05508052560711391,1.3272226854304359
0.6658446386936278,1.501851846343582,0.7299190924311414,0.018652021266918346,0.11684928585717853,-0.3720920558806029,-0.014915038846326698,0.0,-1.1882855810441129e-16,2.468809580082088,-0.03705714543067068,0.3318549964852288,0.05507583863290988,1.3274199859409153
0.6658691058132821,1.501796661340243,0.7299824259749532,0.01865320790930014,0.11683329473800666,-0.37204966194855843,-0.014914751376214383,0.0,-3.2959746043559335e-17,2.4679573491767424,-0.03705708665692047,0.33190430593070935,0.05507115897395796,1.3276172237228374
0.6658922826487496,1.501744390282247,0.7300424261743539,0.0186543217390974,0.11681805025613858,-0.3720095698853279,-0.014914480628196896,0.0,-4.423544863740858e-17,2.467148694639004,-0.03705703256372719,0.33195100567554,0.055066739408466306,1.32780402270216
0.6659167444063213,1.501689225267223,0.7301057597181657,0.01865548651468348,0.1168017424686796,-0.3719673752468035,-0.014914196424567037,0.0,-1.1709383462843448e-16,2.4662934232102995,-0.03705697714564821,0.33200028457932956,0.05506209631019547,1.3280011383173183
0.6659412034140126,1.5016340705056277,0.7301690932619775,0.018656640060624903,0.1167851365300153,-0.3719253415961826,-0.014913913669700438,0.0,-4.85722573273506e-17,2.4654363139195827,-0.03705692345735527,0.3320495477894799,0.05505748067401996,1.3281981911579197
0.665965659674282,1.501578925990105,0.7302324268057893,0.018657782376426388,0.11676831426384959,-0.37188343354876824,-0.014913632378856354,0.0,1.1102230246251565e-16,2.4645775161884065,-0.037056871499452575,0.33209879526442365,0.05505288727556573,1.3283951810576946
0.6659888262308613,1.5015266932622011,0.7302924270051899,0.018658854210799717,0.11675228515018085,-0.37184380061987854,-0.014913367421453204,0.0,-7.546047120499111e-17,2.4637626324432538,-0.037056823872158806,0.3321454362079231,0.05504854928782729,1.3285817448316923
0.6660132771479451,1.5014715686784494,0.7303557605490018,0.018659974655998376,0.11673538137068017,-0.371801990174604,-0.014913089545744461,0.0,3.9898639947466563e-17,2.462901017899394,-0.03705677528334773,0.3321946529002198,0.05504397747322931,1.3287786116008793
0.6660377253248562,1.5014164543190938,0.7304190940928136,0.01866108386965641,0.1167186100190465,-0.37176015443300464,-0.014912813713193663,0.0,2.688821387764051e-17,2.4620383950621694,-0.03705672842429631,0.3322438537130795,0.05503940559362841,1.328975414852318
0.6660621707640549,1.5013613501767822,0.7304824276366254,0.018662181851318627,0.11670208923387765,-0.3717182422649663,-0.014912540120033152,0.0,-8.673617379884035e-18,2.4611746592614177,-0.03705668329479247,0.332293038597532,0.05503482608746231,1.329172154390128
0.6660853270780526,1.50130915567041,0.7305424278360261,0.01866321168325276,0.11668674392911532,-0.3716784331120776,-0.014912283028558551,0.0,-6.245004513516506e-17,2.460355596748443,-0.037056642136453044,0.33233962007294127,0.05503047578211099,1.329358480291765
0.666109767192982,1.501254071403347,0.7306057613798379,0.018664287790812875,0.11667079514947389,-0.37163633570966786,-0.014912013698216252,0.0,-1.8214596497756474e-17,2.4594902098652676,-0.03705660038010164,0.3323887738493428,0.05502587604414159,1.3295550953973712
0.6661342045774558,1.5011989973316608,0.7306690949236497,0.0186653526650945,0.11665498346126071,-0.3715942109501146,-0.014911746341348998,0.0,-8.500145032286355e-17,2.458623523574565,-0.03705656036298536,0.3324379116453512,0.055021275949310486,1.3297516465814048
0.6661586392339374,1.501143933448,0.7307324284674616,0.01866640630568235,0.11663918816055825,-0.3715521110595515,-0.01491148083003612,0.0,-3.469446951953614e-17,2.457755608170933,-0.03705652209022959,0.3324870334598165,0.05501668323186538,1.329948133839266
0.6661817853416974,1.501091777054638,0.7307924286668622,0.018667394128752946,0.11662413000547844,-0.37151229719169204,-0.014911230879560004,0.0,-5.204170427930421e-18,2.456931882576627,-0.03705648744553804,0.33253355517260513,0.05501234604810704,1.3301342206904205
0.6662062146928447,1.5010367329897265,0.7308557622106739,0.01866842589204706,0.1166080205877757,-0.37147039547709815,-0.014910968595438636,0.0,-3.122502256758253e-17,2.456060748207531,-0.03705645258440302,0.3325826458618179,0.055007789882094656,1.3303305834472716
0.6662306413232641,1.5009816990911806,0.7309190957544858,0.018669446420482606,0.11659161531091752,-0.3714286537771066,-0.014910707697695933,0.0,-6.852157730108388e-17,2.45518792389392,-0.0370564194817746,0.332631720557489,0.05500326112163074,1.330526882229956
