c,minK,uK,minA4,uA4,minA7,minOdd,uOdd,minCrT,minCrV,maxv,v_start,v_end
-397.5,-3336.7070096486023,0.6957539384846211,478.62434217395344,0.7099849962490622,2.0015301172172646,8510.644607599894,0.6186121530382596,1.005069401853415,220.67133101533778,554.329029419401,-397.5,-554.329029419401
-395.0,-3315.862283010283,0.6957539384846211,475.7325358250701,0.7099849962490622,2.0015301172172646,8403.97271984343,0.6186121530382596,1.005069401853415,219.27023093203888,550.8549623130556,-395.0,-550.8549623130556
-392.5,-3295.017556371963,0.6957539384846211,472.84072947618654,0.7099849962490622,2.0015301172172646,8297.97357670834,0.6186121530382596,1.005069401853415,217.86913275346953,547.3808952067101,-392.5,-547.3808952067101
-390.0,-3274.1729068204327,0.6957801950487622,469.94892312730326,0.7099849962490622,2.0015301172172646,8192.647178194627,0.6186121530382596,1.005069401853415,216.46803651589298,543.9068281003647,-390.0,-543.9068281003647
-387.5,-3253.3282777508425,0.6957801950487622,467.0571167784197,0.7099849962490622,2.0015301172172646,8087.993524302284,0.6186121530382596,1.005069401853415,215.066942256499,540.4327609940192,-387.5,-540.4327609940192
-385.0,-3232.4836486812533,0.6957801950487622,464.16531042953636,0.7099849962490622,2.0015301172172646,7984.0126150313135,0.6186121530382596,1.005069401853415,213.66585001343336,536.9586938876738,-385.0,-536.9586938876738
-382.5,-3211.6390196116636,0.6957801950487622,461.27350408065286,0.7099849962490622,2.0015301172172646,7880.704450381718,0.6186121530382596,1.005069401853415,212.2647598258292,533.4846267813283,-382.5,-533.4846267813283
-380.0,-3190.794471594289,0.6958064516129032,458.3816977317695,0.7099849962490622,2.0015301172172646,7778.069030353493,0.6186121530382596,1.005069401853415,210.86367173383854,530.0105596749829,-380.0,-530.0105596749829
-377.5,-3169.9499428892327,0.6958064516129032,455.489891382886,0.7099849962490622,2.0015301172172646,7676.106354946642,0.6186121530382596,1.005069401853415,209.4625857786665,526.5364925686374,-377.5,-526.5364925686374
-375.0,-3149.105414184177,0.6958064516129032,452.5980850340026,0.7099849962490622,2.0015301172172646,7574.816424161166,0.6186121530382596,1.005069401853415,208.06150200260512,523.062425462292,-375.0,-523.062425462292
-372.5,-3128.260890047252,0.6958327081770442,449.7062786851192,0.7099849962490622,2.0015301172172646,7474.19923799706,0.6186121530382596,1.005069401853415,206.66042044907044,519.5883583559465,-372.5,-519.5883583559465
-370.0,-3107.416464501753,0.6958327081770442,446.81447233623584,0.7099849962490622,2.0015301172172646,7374.254796454327,0.6186121530382596,1.005069401853415,205.25934116263895,516.1142912496011,-370.0,-516.1142912496011
-367.5,-3086.572038956255,0.6958327081770442,443.92266598735233,0.7099849962490622,2.0015301172172646,7274.98309953297,0.6186121530382596,1.005069401853415,203.8582641890878,512.6402241432556,-367.5,-512.6402241432556
-365.0,-3065.727613410756,0.6958327081770442,441.0308596384689,0.7099849962490622,2.0015301172172646,7176.384147232982,0.6186121530382596,1.005069401853415,202.45718957543457,509.1661570369102,-365.0,-509.1661570369102
-362.5,-3044.8832386529734,0.6958589647411852,438.1390532895853,0.7099849962490622,2.0015301172172646,7078.457939554369,0.6186121530382596,1.005069401853415,201.05611736998006,505.69208993056475,-362.5,-505.69208993056475
-360.0,-3024.038919061283,0.6958589647411852,435.24724694070204,0.7099849962490622,2.0015301172172646,6981.204476497131,0.6186121530382596,1.005069401853415,199.6550476223523,502.2180228242193,-360.0,-502.2180228242193
-357.5,-3003.194599469593,0.6958589647411852,432.35544059181854,0.7099849962490622,2.0015301172172646,6884.6237580612615,0.6186121530382596,1.005069401853415,198.2539803835523,498.74395571787386,-357.5,-498.74395571787386
-355.0,-2982.3502962360135,0.6958852213053263,429.46363424293514,0.7099849962490622,2.0015301172172646,6788.715784246767,0.6186121530382596,1.005069401853415,196.85291570600194,495.2698886115284,-355.0,-495.2698886115284
-352.5,-2961.50608539159,0.6958852213053263,426.57182789405175,0.7099849962490622,2.0015301172172646,6693.480555053648,0.6186121530382596,1.005069401853415,195.4518536435939,491.79582150518297,-352.5,-491.79582150518297
-350.0,-2940.6618745471674,0.6958852213053263,423.6800215451685,0.7099849962490622,2.0015301172172646,6598.918070481897,0.6186121530382596,1.005069401853415,194.0507942517434,488.3217543988375,-350.0,-488.3217543988375
-347.5,-2919.8176644585865,0.6959114778694674,420.7882151962849,0.7099849962490622,2.0015301172172646,6505.0283305315215,0.6186121530382596,1.005069401853415,192.6497375874427,484.8476872924921,-347.5,-484.8476872924921
-345.0,-2898.973565154104,0.6959114778694674,417.8964088474016,0.7099849962490622,2.0015301172172646,6411.81133520252,0.6186121530382596,1.005069401853415,191.2486837093171,481.37362018614664,-345.0,-481.37362018614664
-342.5,-2878.1294658496217,0.6959114778694674,415.00460249851807,0.7099849962490622,2.0015301172172646,6319.267084494891,0.6186121530382596,1.005069401853415,189.8476326776844,477.8995530798012,-342.5,-477.8995530798012
-340.0,-2857.28536654514,0.6959114778694674,412.1127961496346,0.7099849962490622,2.0015301172172646,6227.395578408632,0.6186121530382596,1.005069401853415,188.44658455461584,474.42548597345575,-340.0,-474.42548597345575
-337.5,-2836.441377080969,0.6959377344336084,409.2209898007512,0.7099849962490622,2.0015301172172646,6136.1968169437505,0.6186121530382596,1.005069401853415,187.0455394040008,470.9514188671103,-337.5,-470.9514188671103
