u,x,cminus,cplus,c55,c56,disc,cV,delta_a9
0.697145536384096,1.4344207167799246,113.79608486942536,479.5450822078793,593.3411670773047,54570.352873643395,133772.32905408443,0.1286740802669611,0.1749286303405237
0.6971192798199549,1.4344747433441665,148.6295841815945,493.25629655274633,641.8858807343408,73312.47825158795,118767.57087974861,0.1289167679013708,0.14968205404681362
0.6970930232558139,1.4345287739783157,138.181689756768,484.09740355294787,622.2790933097159,66893.39722981038,119657.68105112063,0.12915965381222883,0.1249321965470341
0.6970667666916729,1.4345828086828314,129.41853156618998,476.08792265768085,605.5064542238708,61614.59984675489,120179.66671974503,0.12940273174306535,0.10071426346503529
0.6970405101275319,1.4346368474581743,117.20714872738313,466.7392317742282,583.9463805016113,54705.17455546651,122172.67707906658,0.12964600294449227,0.07706377768763467
0.6970142535633909,1.4346908903048046,108.65952050412642,459.38887239489446,568.0483928990209,49916.974599360554,123011.07827771819,0.12988946876717336,0.05401636324574785
0.6969879969992498,1.434744937223182,150.0271299207231,479.02216108662293,629.049291007346,71866.31999624832,108237.73053185141,0.130133126223933,0.03160748863568933
0.6969617404351087,1.4347989882137668,152.51828844311964,478.7017055781971,631.2199940213168,73010.76480958881,106395.62161391595,0.13037707683028582,0.009872165164166169
0.6969354838709677,1.4348530432770192,79.26631156730645,438.8253919083957,518.0917034757022,34784.07023865625,129282.7322557299,0.13062134454980878,-0.011155404073706805
0.6969092273068267,1.4349071024133997,-13.380754231635649,409.57241717955236,396.1916629479167,-5480.387854336532,178889.3852067818,0.13086580924720162,-0.031442228751713056
0.6968829707426857,1.4349611656233685,-97.64514686406437,391.18831513520485,293.5431682711405,-38197.640482882976,238958.153570191,0.13111035497150778,-0.050956993069022696
0.6968567141785447,1.435015232907386,-205.55069045021014,374.65503306221285,169.1043426120027,-77010.60072658416,336638.68159657426,0.13135485969586824,-0.06967057749593497
0.6968304576144035,1.4350693042659133,-339.0968550955979,359.8458370961058,20.748982000507965,-122022.59167853232,488520.8869681867,0.13159920818292328,-0.08755664192194673
0.6968042010502625,1.43512337969941,-343.439461885892,353.47079862702276,10.031336741130815,-121395.82087284121,485683.9112081788,0.1318432375651571,-0.10459226959714477
0.6967779444861215,1.4351774592083375,-208.61446186440145,357.0236083985831,148.40914653418164,-74480.2879389572,319946.426530833,0.13208697377216458,-0.1207586684142464
0.6967516879219805,1.4352315427931566,-80.18195442521599,367.02772878597114,286.8457743607551,-29429.000622307263,199996.5007578503,0.1323306197696795,-0.1360419222074547
0.6967254313578395,1.4352856304543276,29.567692342753276,386.57443651215635,416.14212885490963,11430.114006364653,127453.8153824376,0.1325743845859467,-0.15043377963872398
0.6966991747936984,1.435339722192312,138.75055623654467,437.46153851343445,576.2120947499791,60698.03180083363,89228.25093282433,0.13281847800835284,-0.16393246167853565
0.6966729182295573,1.43539381800757,168.0708842254703,466.46357262242384,634.5344568478941,78398.94510962265,89038.1964887614,0.13306312274036886,-0.1765434604946614
0.6966466616654163,1.4354479179005633,98.14556161085983,410.89835224134583,509.04391385220566,40327.84954570379,97814.3080471566,0.13330844019816382,-0.188280292651766
0.6966204051012753,1.4355020218717525,3.636502817717542,375.2113419889149,378.84784480663245,1364.4571023822682,138067.86110510118,0.13355429287271683,-0.19916515798804493
0.6965941485371343,1.435556129921599,-67.83479442709205,358.72941789849307,290.894623471401,-24334.336318094673,181957.02723694686,0.13380056455412798,-0.20922944278822908
0.6965678919729932,1.4356102420505643,-153.36622480676945,344.7929945396978,191.42676973292834,-52879.59991237452,248162.60781988164,0.13404715797117384,-0.21851399281849232
0.6965416354088522,1.4356643582591089,-252.33998821157886,332.93732057460204,80.59733236302321,-84013.39954898975,342549.5281799946,0.13429397461711562,-0.22706907009258254
0.6965153788447112,1.4357184785476949,-296.36269788697496,326.44763064067854,30.084932753703526,-96746.90053548221,387892.7053207237,0.13454090682088607,-0.23495389960533386
0.6964891222805701,1.4357726029167834,-249.3323123757608,326.2266075491617,76.8942951734009,-81338.83441873232,331268.0703051434,0.13478790596884965,-0.2422357127457681
0.6964628657164291,1.435826731366836,-230.74388854111731,324.6592943298446,93.91540578872727,-74913.14802468347,308472.6955431952,0.1350350584252687,-0.248988208260417
