c4,a1,T,cm,cp,c55,c56,disc,K6,K1000,violation
-10,0.5,0.6,-552.5280344378017,74.21628632715675,-321.88134656045736,-693865.9441992444,1100.696013484112,-4.0575173295867515,-3.363999254318967e-06,164635.71541098575
-40,0.5,0.45,-495.42561608735707,51.31780574653561,-379.726949521444,-555536.7247812978,16.23527585307238,-7.0147197658004865,-2.5195112104714077e-06,492063.93902562826
-30,0.5,0.45,-506.1895391310377,81.00359072410916,-348.0539755845295,-656215.3443409676,210.52989310327757,-7.0147197658004865,-2.5195112104714077e-06,492064.0272905821
-20,0.5,0.45,-517.1104185123322,77.3473576133463,-319.68725484746784,-760974.5366487089,717.2808241860985,-7.0147197658004865,-2.5195112104714077e-06,492064.150894574
-10,0.5,0.45,-528.1479609439016,76.69756239745624,-292.9650654291712,-869814.3017045119,1153.5412820998063,-7.0147197658004865,-2.5195112104714077e-06,492064.30922151764
-40,0.4,0.0,-259650.06898501216,-321.18675747784437,-259971.25574249,-22006970.203876104,13.082572351291788,-58823.46893644059,-227.37335015977789,842393260868865.8
-30,0.4,0.0,-377773.8742901738,-335.62346090347273,-378109.4977510773,-33580927.86799737,67.63558738734874,-58823.46893644059,-227.37335015977789,842393261116309.9
-20,0.4,0.0,-495897.66811819247,-350.0716414722556,-496247.73975966475,-46052584.639034316,1893.8041445399322,-58823.46893644059,-227.37335015977789,842393261455522.2
-10,0.4,0.0,-614021.4570960177,-364.5246722345473,-614385.9817682522,-59421940.51698603,3407.3655808958465,-58823.46893644059,-227.37335015977789,842393261886570.1
-40,0.5,0.3,-150040.26283678444,24.107165424394154,-149919.65867167525,-18095480.632193625,0.9521822697715834,-129545.67721357069,-367.58815154145816,2279087217947247.5
-30,0.5,0.3,-150040.455616411,65.89957032492015,-149890.86571397452,-22444537.11718435,227.26952905761937,-129545.67721357069,-367.58815154145816,2279087217947406.5
-20,0.5,0.3,-150040.64966945804,89.58864869900778,-149862.07275627385,-26793796.07012154,874.98940957374,-129545.67721357069,-367.58815154145816,2279087217947603.0
-10,0.5,0.3,-150040.84499518346,83.64420064613313,-149833.27979857312,-31143257.491005197,1478.2461398395135,-129545.67721357069,-367.58815154145816,2279087217947837.5
-40,0.5,0.15,-293502.29756165383,-24.43128799003864,-293231.6523597494,-79434988.58297968,17.029747280786978,-186834.69129012292,-445.4426658718038,3449371528029448.5
-30,0.5,0.15,-293501.73728829494,34.94899602776411,-293181.4368216197,-94008743.42342824,201.062192804995,-186834.69129012292,-445.4426658718038,3449371528031915.5
-20,0.5,0.15,-293501.17854567536,90.38922397046497,-293131.2212834902,-108582892.4628864,1056.4687300819714,-186834.69129012292,-445.4426658718038,3449371528034808.0
-10,0.5,0.15,-293500.6213330276,97.25834440443147,-293081.0057453604,-123157435.701354,2080.7129806725534,-186834.69129012292,-445.4426658718038,3449371528038125.0
-40,0.5,0.0,-1793773.3595772982,-410.14617244198894,-1793656.861486334,-208971172.01361716,13.663308383132971,-123255.04427627416,-2521.0384381355907,9.94587119224326e+16
