point,u,slot,MH,SVT_delta,total
inner_S1,0.61,v4,0.0,-0.0001031260240118,-0.0001031260240118
inner_S1,0.61,v5,0.0,0.0,0.0
inner_S1,0.61,v6,0.0,3.216512943304698,3.216512943304698
inner_S1,0.61,v7,0.7359171733648119,9.752853367635453,10.488770541000264
inner_S1,0.61,v8,-1.5162410228629242,-2.289731835996202,-3.8059728588591257
inner_S1,0.61,v9,1.2288799538116553,0.4999040317336021,1.7287839855452574
inner_S1,0.61,v10,-0.20343728386533383,-0.2314537549430195,-0.43489103880835334
inner_S1,0.61,v11,0.0,-1.608256471652349,-1.608256471652349
inner_S1,0.61,v12,0.0,-3.766490468801369,-3.766490468801369
inner_S1,0.61,v13,0.0,94.870096161588,94.870096161588
