x,u,a5_unsmoothed_identity,a5_selected,rel_scaled_difference
0.0150593164283235,66.40407649043114,-5.248534113939947,-5.2485111356833345,4.378033201898739e-06
0.0150941898574902,66.25065733513146,-5.172064799352903,-5.172082978212561,3.5148166861260694e-06
0.0151291440443772,66.09759263754604,-4.984203172625635,-4.9841911835838095,2.4054079277778023e-06
0.015164179175998,65.9448815787411,-5.4730527963198226,-5.4730571781390545,8.006170221578526e-07
0.0151992954397995,65.79252334167349,-5.403620911980564,-5.4036245544277,6.740752534719774e-07
0.0152344930236624,65.64051711118891,-4.668463089351311,-4.66845208180638,2.357851978450827e-06
0.0152697721159029,65.48886207401466,-5.277069433768687,-5.277083887529502,2.7389749170987474e-06
0.0153051329052728,65.33755741875905,-5.784139016792172,-5.784125039638167,2.416462322963732e-06
0.0153405755809613,65.18660233590376,-4.861139574184287,-4.861150422702924,2.2316821952450776e-06
0.0153761003325958,65.03599601780041,-4.921265754235744,-4.921257650410162,1.6466953801803437e-06
0.0154117073502425,64.88573765866799,-5.573816774230849,-5.573823149445623,1.143779035461388e-06
0.0154473968244079,64.73582645458647,-4.959000405529582,-4.958994204654382,1.2504284518842665e-06
0.0154831689460398,64.58626160349264,-5.270123143880499,-5.270127650667668,8.551578483661956e-07
0.015519023906528,64.43704230517713,-5.579485362995543,-5.579485681308753,5.705063993318274e-08
0.0155549618977057,64.28816776127856,-4.821651213461493,-4.821643262832906,1.6489431183443845e-06
0.01559098311185,64.13963717528148,-5.1705387142779955,-5.170553550479636,2.8693725084364556e-06
0.0156270877416836,63.99144975250929,-5.375130957217671,-5.375112030682198,3.5211301126850917e-06
0.0156632759803753,63.84360470012223,-5.075186805411433,-5.0752046042687615,3.5070349153386215e-06
0.0156995480215415,63.69610122711116,-5.365285200649879,-5.365272637124343,2.3416323767534048e-06
0.0157359040592465,63.5489385442964,-5.157559252917942,-5.157564078491146,9.356311711604252e-07
0.0157723442880044,63.40211586431996,-4.992851840932223,-4.992854314483262,4.954184737434829e-07
0.0158088689027795,63.25563240164392,-5.416134792451556,-5.416125972736954,1.6284149010648674e-06
0.0158454780989879,63.10948737254404,-5.166882898320928,-5.16689586026317,2.5086580240513908e-06
0.0158821720724978,62.963679995108464,-5.080094250736643,-5.080078605591565,3.0796958296307434e-06
0.0159189510196314,62.8182094892302,-5.412605136086023,-5.412621738395064,3.067341626426173e-06
0.0159558151371652,62.67307507660593,-5.171352127459014,-5.171335503737988,3.214579207871243e-06
0.0159927646223316,62.52827598072966,-4.990684251235307,-4.990699495465895,3.054537177802966e-06
0.0160297996728197,62.38381142688955,-5.353875020820596,-5.35386171969912,2.4843914780439518e-06
0.0160669204867762,62.23968064216445,-5.369500687790587,-5.369510567255983,1.8399225496803296e-06
0.0161041272628069,62.09588285541796,-4.861424985479948,-4.861419639319301,1.0997106121337166e-06
0.0161414201999774,61.952417297295824,-5.229642995066284,-5.229642186627798,1.5458770067014714e-07
0.0161787994978143,61.80928320022116,-5.568571823401315,-5.568578813558686,1.2552872788280805e-06
0.0162162653563064,61.66647979838998,-4.888015757361142,-4.888002104164867,2.7931980894960216e-06
0.0162538179759054,61.52400632776843,-5.217322417291834,-5.217344966184985,4.3219282511971335e-06
0.0162914575575272,61.3818620260878,-5.4971863134271315,-5.497145799782616,7.369887467097647e-06
0.0163291843025531,61.240046132840085,-4.7656772456821965,-4.765757046328055,1.6744869982695975e-05
0.0163669984128307,61.09855788927448,-5.275325549560987,-5.27517137834509,2.922496715117411e-05
0.0164049000906751,60.95739653839292,-5.617525088325486,-5.617767835980793,4.3212562737123425e-05
0.0164428895388698,60.81656132494671,-4.889586262344904,-4.889303810071853,5.776608855960828e-05
0.0164809669606678,60.67605149543244,-4.992807988571403,-4.99304325338092,4.712074048412158e-05
0.016519132559793,60.53586629808672,-5.454414908479762,-5.454271279064567,2.6332689684421337e-05
0.016557386540441,60.396004982883326,-5.248433915460954,-5.248503113918038,1.3184591479864508e-05
0.0165957291072801,60.25646680152949,-5.032007789008718,-5.031977504462575,6.018382206997859e-06
0.0166341604654529,60.11725100746002,-5.2977329999025855,-5.297746028459263,2.459270159010163e-06
0.0166726808205767,59.97835685583589,-5.257485906756004,-5.257480088521415,1.1066571915795232e-06
0.0167112903787452,59.839783603538045,-5.093138748881624,-5.093141076875103,4.570842448362714e-07
0.0167499893465292,59.70153050916489,-5.193914740420063,-5.193914290975558,8.653290014847501e-08
0.016788777930978,59.5635968330273,-5.119081423082474,-5.119079201019509,4.340745500959146e-07
0.0168276563396202,59.42598183714572,-5.402965176241187,-5.402971310657862,1.1353796433946268e-06
0.0168666247804652,59.2886847852448,-5.268429290823337,-5.268415207954757,2.673067778503268e-06
0.0169056834620039,59.151704942751,-4.760221911324972,-4.760253355993389,6.605714818008255e-06
0.0169448325932101,59.01504157678762,-5.520467769094642,-5.520395946619088,1.3010215539445627e-05
0.0169840723835416,58.878693956170906,-5.325374787526606,-5.325521401447085,2.7531192888486434e-05
0.017023403042941,58.742661351407314,-4.774179984044059,-4.773944401527172,4.934512684366825e-05
0.0170628247818374,58.606943034687575,-5.509067163127542,-5.5093425536725675,4.998859822750071e-05
0.017102337811147,58.47153827988463,-5.097142482150037,-5.096912634391721,4.5093453659759915e-05
0.0171419423422745,58.33644636254877,-5.171683829299065,-5.171822849587241,2.6881049338084388e-05
0.017181638587114,58.20166655990464,-5.4224749577877525,-5.422409146870772,1.213669357501818e-05
