u,shape,delta_G4XX,delta_G3X,delta_G2,delta_G2X,delta_a1,delta_c4,delta_E00_linear,delta_E11_linear,delta_E22_linear,local_background_rank
0.7055476369092273,0.7536443193114377,0.4497871439632886,0.5284111006597564,3.3095471334474666e-12,-0.29402889969404894,0.1665599341855506,0.22317501073313623,2.307704511429028e-15,-5.551115123125783e-17,-2.3488651933546357e-15,2
0.7055213803450863,0.7284002002417868,0.43352067281008033,0.5123258559572916,-5.635476867546111e-12,-0.28310580226515814,0.16085769297472002,0.21558465127862939,-4.125772734678942e-15,3.469446951953614e-18,4.092503867047215e-15,2
0.7054951237809453,0.7015588061758321,0.41638213830177434,0.49499642229488444,6.9350850789006934e-12,-0.2716417039803817,0.15481149814983008,0.2075295445925196,5.2073822621306425e-15,3.469446951953614e-18,-5.228521847812116e-15,2
0.7054688672168041,0.6730621541143549,0.39834605957263164,0.4763717112237836,-7.164120721215256e-12,-0.2596210177734791,0.1484093861073479,0.19899334122878953,-5.600543755801177e-15,-2.0816681711721685e-17,5.577399987808553e-15,2
0.7054426106526631,0.6428550140857835,0.37938900716484564,0.4564022369204199,6.264274599352547e-12,-0.2470294486731138,0.14164003330282435,0.18996053695996024,5.0650547804210195e-15,3.122502256758253e-17,-5.075489565465582e-15,2
0.7054163540885221,0.6108876333356345,0.3594913372658201,0.4350418890092519,-5.6214212813223874e-12,-0.2338551555995863,0.13449336621631613,0.18041729219560307,-4.716110827398576e-15,3.469446951953614e-17,4.673082716562328e-15,2
0.7053900975243811,0.5771195118172829,0.3386392484677557,0.4122508541226992,2.8692940014237164e-12,-0.22009003519586606,0.12696137714005892,0.17035252854483357,2.4764799686402755e-15,6.938893903907228e-18,-2.486259228476631e-15,2
0.7053638409602401,0.5415246047058451,0.31682754604651053,0.38799971408547856,1.0858853923231971e-12,-0.2057314400803992,0.11903924290539027,0.15975943334479226,1.0216154622361125e-15,-1.1796119636642288e-16,-9.305928000964772e-16,2
0.705337584396099,0.5040984585777053,0.2940643316364177,0.3622738820523156,-3.741786382403969e-12,-0.19078537465537115,0.11072693395746551,0.1486376250434518,-3.4080770934838485e-15,1.3877787807814457e-17,3.4152920331243467e-15,2
0.7053113278319579,0.46486795967901284,0.2703756779704995,0.3350819284434568,4.3544921145665665e-12,-0.17526926122037248,0.1020312681053749,0.13699591757039126,4.14151739834355e-15,1.734723475976807e-17,-4.128367298796404e-15,2
0.7052850712678169,0.4239045911968658,0.24581361369839252,0.3064647550166435,-4.092681687180765e-12,-0.15921722171583083,0.09296883880288959,0.12485626383203226,-3.97800211785561e-15,2.0816681711721685e-17,3.977264149332088e-15,2
0.7052588147036759,0.38134235850882114,0.2204658745674088,0.27650935314206265,3.844303759173464e-12,-0.1426862648234088,0.08356988747056825,0.1122589720555616,3.824204245483369e-15,-2.0816681711721685e-17,-3.8369806342979116e-15,2
0.7052325581395349,0.33740181850032275,0.19446925411120816,0.24536686405944994,-2.2348234314794006e-12,-0.12576485341456287,0.07388351730050625,0.09926973167171425,-2.301095168302665e-15,0.0,2.281472399898815e-15,2
0.7052063015753938,0.2924218500790001,0.16802709648090425,0.21327663923131857,1.1854769843146329e-12,-0.10858410753888487,0.06398457313540552,0.08598888751300861,1.2364852829568319e-15,2.2551405187698492e-17,-1.2865703480241123e-15,2
0.7051800450112528,0.24690069156194036,0.14143154942981426,0.18059771267661065,-5.889486998056549e-13,-0.09133200148700778,0.05398249978434415,0.07256338548507751,-6.447680013688417e-16,8.673617379884035e-18,6.428006118313658e-16,2
0.7051537884471117,0.2015467868139032,0.11509140655429255,0.14784742138188917,3.288626438451178e-13,-0.07427122863592327,0.04403233765582785,0.059201607929040764,3.640831501894619e-16,3.642919299551295e-17,-3.7382977263302763e-16,2
0.7051275318829707,0.1573368720700396,0.08956310026571662,0.11574646997710143,1.927348620387868e-13,-0.057758956633730485,0.034347215841933613,0.04619024181132266,2.320357256093648e-16,-1.214306433183765e-17,-2.1542184671377618e-16,2
0.7051012753188297,0.11557083323053978,0.06557934628040052,0.08526213480358427,-6.749201041280252e-13,-0.042265058899426396,0.025210094100545928,0.0339101586027866,-7.778457332764791e-16,9.540979117872439e-18,7.729582805653263e-16,2
0.7050750187546886,0.07789492212994795,0.044059189486578894,0.057628788527072136,5.194077921195736e-13,-0.028378327088085895,0.016978548245896022,0.022842955005513504,6.142578149970602e-16,1.734723475976807e-18,-6.14744791187844e-16,2
0.7050487621905476,0.0462282455624798,0.026063427559656092,0.034296660203520714,-2.3716005665313413e-13,-0.016777590128255342,0.010068482298030652,0.013549143334557987,-2.8572538033533615e-16,-1.3010426069826053e-18,2.8576491286791806e-16,2
0.7050225056264066,0.022464786424288875,0.012624424476741832,0.016712919350864518,1.3194019034352216e-13,-0.00812212179737867,0.0048890464372334215,0.006580634969474204,1.6176142319646225e-16,2.6020852139652106e-18,-1.6235688235893501e-16,2
0.7049962490622655,0.007764068199987121,0.004348828163225395,0.0057921056936787365,-6.424476149649068e-14,-0.0027964191842503247,0.0016884048337872193,0.002273085408900156,-8.019366037466905e-17,-5.421010862427522e-20,8.022225986503451e-17,2
0.7049699924981245,0.0013938293015618324,0.0007781337112181425,0.0010426669554504775,1.532757581952581e-14,-0.0005001136564520685,0.00030287420637011215,0.0004078464626363621,1.9560273798514962e-17,1.3552527156068805e-20,-1.966087529587002e-17,2
0.7049437359339834,5.4344889642863406e-05,3.023801532062658e-05,4.076386096844531e-05,-5.944276028438413e-16,-1.9425166632742575e-05,1.1799863545936854e-05,1.589301718793443e-05,-7.735588250279305e-19,4.658681209898652e-21,7.723830000981004e-19,2
