u,x,f3_delta,f3X_delta,f3XX_delta,f4_delta,f4X_delta,f4XX_delta,f4XXX_delta,tf4_delta,f2XX_delta,f2XF_delta,f2FF_delta,f2XY_delta,f2FY_delta,f2YY_delta,e3_emitted,e3_historical_target
0.7127749999999999,1.4029672757882925,9452.04433569023,6892.0908807485575,-900.047252921663,-6188.893182846205,-3679.344260768416,-470.78265268172294,161.87507932941526,-4512.803741271947,3020.1356125236607,-1876.0939601394239,-1059.9037633411106,7387.140542482406,1137.952666352352,2337.490062946991,-7928107862.130801,126.15190836145986
0.7127714285714285,1.4029743055277188,9430.813396780079,6874.306274083989,-898.6487722743481,-6173.589350287924,-3660.2016676039234,-468.64435165447026,161.6197883160889,-4501.528311691028,2993.959892767581,-1868.6742107453745,-1063.9567351963442,7370.065394346984,1143.2489754798682,2349.035748102707,3844505476.6173334,126.60766509281576
0.7127678571428571,1.4029813353375926,9409.682194762336,6856.61603058015,-897.192255230429,-6157.823152147297,-3641.7298772558024,-466.5726693837926,161.35407342201768,-4489.94633323344,2967.881385664818,-1860.857620682237,-1067.8273472637766,7352.16324290752,1148.440225271648,2360.297422058341,4488870510.016156,127.06357952997644
0.7127642857142856,1.4029883652179145,9388.884077226021,6838.7435210869835,-895.6843997424029,-6141.943969838209,-3623.9135534015704,-464.51218161434167,161.07914421850862,-4479.114816677829,2941.9221290616097,-1853.54324843915,-1071.8187776514903,7334.612515830476,1153.6365217703967,2371.6363327658014,-8085051915.984306,127.51964922573244
0.7127607142857143,1.402995395168685,9367.3349054886,6820.3717842556825,-894.1632324101964,-6126.575744249493,-3605.253752065829,-462.3739031737676,160.8018336401571,-4467.992946545703,2916.20588755596,-1846.1896751416139,-1075.7994072138622,7316.937953415742,1158.8227292183687,2382.9473348441393,2928316735.271273,127.97587174749566
0.7127571428571429,1.4030024251899065,9345.819343466343,6802.1209958088575,-892.5911032736965,-6110.785589096266,-3587.1590184322154,-460.3010801906749,160.5153685668985,-4456.428728045709,2890.607785939542,-1838.3503610569535,-1079.5448633863377,7298.362524806342,1163.888351797241,2393.9174810274826,5443763271.789108,128.432244677172
0.7127535714285714,1.403009455281579,9324.729247617179,6783.74634118473,-890.9677702106851,-6094.834706372383,-3569.8261329243105,-458.24981854175536,160.21970681362416,-4445.636327303937,2865.126644259612,-1830.999360801653,-1083.434999681926,7280.121997154784,1168.9647704858903,2404.989158573406,-8095787947.787142,128.8887656108915
0.71275,1.403016485443704,9302.89174016237,6764.838929354145,-889.3306434284013,-6079.401197567137,-3551.6426234576634,-456.1150780735283,159.92157609311693,-4434.640133496674,2839.881545260465,-1823.688547791101,-1087.3256394817013,7261.855477841929,1174.0325060112525,2416.042365174793,2066971265.1367028,129.34543215887993
0.7127464285714286,1.4030235156762825,9280.998789444302,6746.025998011946,-887.6463649790034,-6063.588886112735,-3533.9007787132728,-454.03786495407854,159.61497802406777,-4423.1324048925,2814.763827577617,-1815.8674011007777,-1090.9499768109238,7242.677738023396,1178.9692707420704,2426.7191933148697,6291675021.478969,129.8022419452587
0.7127428571428571,1.403030545979315,9259.635488655425,6727.18133367758,-885.9131084785002,-6047.56819248282,-3517.034358958187,-451.9970039685633,159.29958576940786,-4412.3646036372365,2789.767082674291,-1808.4674701156955,-1094.7400527110774,7223.762689529169,1183.9236425845102,2437.521442938165,-8127451604.483013,130.25919260785884
0.7127392857142857,1.4030375763528038,9237.545033056254,6707.788706630229,-884.1683301248711,-6032.090201895264,-3499.311864236239,-449.8681235537555,158.9821420814377,-4401.483893178797,2765.0077976319917,-1801.1908059794987,-1098.5232129998979,7204.939148534914,1188.8666687630766,2448.2962661497777,1245793818.1242626,130.71628179803452
0.7127357142857143,1.403044606796749,9215.306778567156,6688.445083064011,-882.3775350107661,-6016.26271163622,-3481.9155438883267,-447.78766316308764,158.6564421631262,-4390.0370461725715,2740.3759374421816,-1793.3848037255784,-1102.0449921350182,7185.186774267636,1193.6790234853945,2458.6981690492853,7172743077.468939,131.17350718047558
0.7127321428571428,1.403051637311152,9193.656490920243,6669.121928517141,-880.5374040858756,-6000.171038201662,-3465.4790294789204,-445.75329482833376,158.32188337797567,-4379.315525878991,2715.860678827676,-1785.967801146374,-1105.7147802160055,7165.654049804296,1198.4997933286434,2469.2002484162313,-8128383963.509663,131.63086643302012
0.7127285714285714,1.4030586678960133,9171.34248387417,6649.291778072581,-878.6908099922774,-5984.6431619560435,-3448.2160120277954,-443.6339865195834,157.9861761225226,-4368.521906028436,2691.592835099988,-1778.697962980201,-1109.3838769394263,7146.271236565648,1203.313752075617,2479.686348864607,244517182.11864963,132.08835724646633
0.7127249999999999,1.4030656985513348,9148.796371434242,6629.453015481559,-876.8007482025,-5968.8285784982145,-3431.144375229151,-441.5505405572403,157.6426668927312,-4357.147431284654,2667.456650368273,-1770.9145481149635,-1112.8292733425394,7125.9942844220595,1208.0099932892244,2489.8436604781064,8172129268.402173,132.5459773243842
0.7127214285714285,1.403072729277117,9126.844420937075,6609.668699767127,-874.8575439008266,-5952.651173376498,-3415.109051259632,-439.5224937266202,157.28961724449488,-4346.445827725469,2643.422047220362,-1763.4743555309017,-1116.3313381605897,7105.856562562187,1212.6764211321797,2499.9844367890623,-7931611411.509409,133.00372438292675
0.7127178571428571,1.403079760073361,9104.328976444172,6589.40274726098,-872.9113527483117,-5937.068601846124,-3398.2997827063623,-437.41120279295995,156.9360439018873,-4335.773917016989,2619.6393244341043,-1756.2350155850904,-1119.9331025052877,7085.957382254468,1217.3727129369172,2510.2294197929127,-1076943863.2746747,133.46159615064022
0.7127142857142856,1.4030867909400684,9081.484151602603,6569.111124619417,-870.9289878562231,-5921.273315323923,-3381.5289361799314,-435.3266855078876,156.57598769693666,-4324.4408663099675,2596.006137569953,-1748.4579537308896,-1123.2516149385528,7065.173225830838,1221.9345228627433,2520.0822058293156,9165447848.11147,133.919590368275
0.7127107142857142,1.4030938218772395,9059.260621185542,6548.899620129861,-868.8889447120167,-5905.0281884239885,-3365.877268787048,-433.3060621249876,156.20558417486887,-4313.750578105437,2572.4575524971983,-1740.9794950351793,-1126.619535865921,7044.4465309010375,1226.4573902367154,2529.8994302566966,-7419522234.049508,134.37770478859525
