name,status,value,criterion,evidence,level
sha256:paper/figures/core_positive_invariants.png,PASS,efb7b224db81d74585a09994581e43fd3e7f595171068fcbdb1b2dbd8e65c18e,efb7b224db81d74585a09994581e43fd3e7f595171068fcbdb1b2dbd8e65c18e,MANIFEST.json,implementation
sha256:paper/figures/epsY_ZA_core.png,PASS,45a264fe0efb578c10bef9758d9c1ad172427962c9cc1e187ccd33c6bb19da9d,45a264fe0efb578c10bef9758d9c1ad172427962c9cc1e187ccd33c6bb19da9d,MANIFEST.json,implementation
sha256:paper/figures/epsY_ZA_strongH.png,PASS,c5b8d60f2c05bc72dda9d2eabbbd6a933b6b77faf276ccc9e223e235320a843d,c5b8d60f2c05bc72dda9d2eabbbd6a933b6b77faf276ccc9e223e235320a843d,MANIFEST.json,implementation
sha256:paper/figures/global_principal_speeds.png,PASS,afe928360746299306ce2364a0a62a3e08862505abb6c5b13a1d951c8a135d92,afe928360746299306ce2364a0a62a3e08862505abb6c5b13a1d951c8a135d92,MANIFEST.json,implementation
sha256:paper/figures/strongH_invariants.png,PASS,29c02779c20f64a0c61eb0b8c5b3178b7e83b5a42eb05ecc264b48eb98790719,29c02779c20f64a0c61eb0b8c5b3178b7e83b5a42eb05ecc264b48eb98790719,MANIFEST.json,implementation
sha256:paper/figures/zk_exact_radial_speeds.png,PASS,5e307d4b5af1398028ff07e0f41a857e3e70c14184349755df3599a6d8349a32,5e307d4b5af1398028ff07e0f41a857e3e70c14184349755df3599a6d8349a32,MANIFEST.json,implementation
sha256:requirements.txt,PASS,1f9801a9c5d15fcbc3e4f2d991909a2e706403b59669baae74899dc8b24ff87b,1f9801a9c5d15fcbc3e4f2d991909a2e706403b59669baae74899dc8b24ff87b,MANIFEST.json,implementation
sha256:src/__pycache__/ssz_p5_profile_operator_reducer_JET9D8_2026-09-16.cpython-313.pyc,PASS,3d39ccf4d6e3c7822e3c541cdaa31f8f44c6ee87887b5c2755f86362c9e56820,3d39ccf4d6e3c7822e3c541cdaa31f8f44c6ee87887b5c2755f86362c9e56820,MANIFEST.json,implementation
sha256:src/ssz_hybrid_full_constraint_maps_JET9D8(1).py,PASS,287185c4f3c660e27f0ff32dc19f7f1e1040726e46e08ba35685a00b0e562850,287185c4f3c660e27f0ff32dc19f7f1e1040726e46e08ba35685a00b0e562850,MANIFEST.json,implementation
sha256:src/ssz_hybrid_jet_aware_constraint_reducer.py,PASS,49ea2044d0ef2e6a66c030fe75538c246af035257d3d1a495275eafb4b1c264a,49ea2044d0ef2e6a66c030fe75538c246af035257d3d1a495275eafb4b1c264a,MANIFEST.json,implementation
sha256:src/ssz_hybrid_unreduced_even_kernel.py,PASS,1fc9c2a01b7be3968091cf795d104d444a48dba97cf93062c1c4c0df843b0aed,1fc9c2a01b7be3968091cf795d104d444a48dba97cf93062c1c4c0df843b0aed,MANIFEST.json,implementation
sha256:src/ssz_p5_F2b_action_derived_highL_mass_closure_2026-09-15.py,PASS,9854a2de4fc09971b4d89a794921aec8e5f72862ca9549d7107c014d6a6375c1,9854a2de4fc09971b4d89a794921aec8e5f72862ca9549d7107c014d6a6375c1,MANIFEST.json,implementation
sha256:src/ssz_p5_KGSM_highL_crosscheck_2026-09-16.py,PASS,96204d99484469284dfa25df4f552ebe2e55ab88fce3b68d25bcaa1854ae2abc,96204d99484469284dfa25df4f552ebe2e55ab88fce3b68d25bcaa1854ae2abc,MANIFEST.json,implementation
sha256:src/ssz_p5_higher_jet_closure_2026-09-16.py,PASS,523587987738bfbe0c0ba20948c9a97e3f69e273201ac17d999469bfcb360527,523587987738bfbe0c0ba20948c9a97e3f69e273201ac17d999469bfcb360527,MANIFEST.json,implementation
sha256:src/ssz_p5_holonomic_a5_closure_2026-09-16.py,PASS,77dd57f9ee02081f6db2c4f6a6d7ff4127395e07c66140ec3e387cdfc115e870,77dd57f9ee02081f6db2c4f6a6d7ff4127395e07c66140ec3e387cdfc115e870,MANIFEST.json,implementation
sha256:src/ssz_p5_mh_luminal_g4phi_emitter_JET9D8_2026-09-16.py,PASS,bb5ad60f0afd14f0ec8a410e7870ae6777fa01b59648042b6703662289b8e692,bb5ad60f0afd14f0ec8a410e7870ae6777fa01b59648042b6703662289b8e692,MANIFEST.json,implementation
sha256:src/ssz_p5_profile_operator_reducer_JET9D8_2026-09-16.py,PASS,95156fc3e0124fdd599b891a287acac90d172ef7304824653da64799739e315d,95156fc3e0124fdd599b891a287acac90d172ef7304824653da64799739e315d,MANIFEST.json,implementation
sha256:src/ssz_p5_zk_appendixA_emitter_JET9D8_2026-09-16.py,PASS,fa94b2d147b10c1d697a18431abee6b58143dddcb3a7c040ec0c5e07b8cd45e0,fa94b2d147b10c1d697a18431abee6b58143dddcb3a7c040ec0c5e07b8cd45e0,MANIFEST.json,implementation
