u,x,phi,A0prime,f3,f4,N4,f,h,X,phiprime,Fbg,f2,f2X,f2F,f2phi,f3X,f3phi,f4X,f4phi,f4Xphi,JA_bracket,Ephi_residual,scalar_coeff,E00_vec,E11_vec
0.5525234265217626,1.809878010594384,0.511405032902743,4.245162688830743e-40,0.4207004442593405,-0.641837565887936,-0.0089064981980079,0.437762213698624,0.49406051332086204,-0.04999352626143898,-0.4498645870731774,1.0169522341484295e-79,1.0169522331674704e-79,1.0223441587288714e-62,1.0,4.013096090128069e-63,2.0465573765759722e+17,8.033528959921146e+16,-0.0089064981980079,-57.48818932272982,-2.2566736723008827,-3.159722206645156e-09,3.4611114404404338e-65,5.2723141489752876e-83,-0.0,7.68401341596007e-80
0.5525664025049383,1.8097372469023087,0.5114683664465548,1.909857438929259e-38,0.4113007243700647,-0.645379913219985,-0.0090466978275283,0.4377255282450316,0.4940270987003487,-0.050018393255225696,-0.4499916733459768,2.0583574793215876e-76,2.0583574776533543e-76,7.274442816178517e-60,1.0,2.856894864863557e-60,7.192489168643865e+16,2.8247091757712868e+16,-0.0090466978275283,-54.38970820400786,-2.1711359980441127,-2.6544042577023377e-09,4.147786521159328e-63,3.8774148834684394e-80,2.1401705958373396e-92,1.5637758797516477e-76
0.5526093730335148,1.809596522966236,0.5115316999903666,6.355296790872575e-37,0.4023969472670144,-0.6487257794752522,-0.0091815618053586,0.437688847403843,0.49399366826519314,-0.05004327270779847,-0.4501188060035823,2.2792794752595495e-73,2.2792794750337293e-73,1.378801501783071e-57,1.0,5.417891236013872e-58,1.2307713813855438e+16,4836218608785475.0,-0.0091815618053586,-51.26241964164319,-2.0880846426143473,-3.2443587551743425e-10,5.1839194766738045e-61,3.86684097586669e-77,-2.1920592461556258e-89,2.5967156550541705e-74
0.5526500769222767,1.809463242218344,0.5115917001897673,1.3738585856579658e-35,0.3944265848615831,-0.6517113544469993,-0.009304542750256,0.43765410138331046,0.4939619810602505,-0.05006685551954592,-0.45023929027734294,1.0651642689918628e-70,1.0651642680339535e-70,-8.95152047436911e-55,1.0,-3.519209167646983e-55,-1.7093581963378982e+16,-6720186869448191.0,-0.009304542750256,-48.268229375344575,-2.0116850102387653,-2.9444718206619175e-09,3.7559451715083217e-59,-3.10395285585257e-75,-0.0,1.8511575238801212e-71
0.552693036823928,1.8093225956790389,0.5116550337335791,2.7925431682833063e-34,0.3865117582784913,-0.6546652556188443,-0.0094294495865893,0.4376174295181851,0.49392851822839173,-0.050091760492625176,-0.45036651332366134,4.400877562638984e-68,4.400877558244587e-68,-7.151086581929275e-51,1.0,-2.812748786917844e-51,-3.3041410024021504e+17,-1.2996232796002362e+17,-0.0094294495865893,-44.975699522152716,-1.9329463535970632,-3.2688275264760105e-09,4.7310777447249884e-57,-1.4872943400507565e-74,-5.749029962692412e-84,3.390981948782507e-68
0.5527359912660412,1.8091819888723024,0.511718367277391,4.5841842416968706e-33,0.3791166510182505,-0.6574130840970006,-0.0095494656020949,0.43758076226329434,0.49389503957860675,-0.050116677937554206,-0.450493782807682,1.1859614599769846e-65,1.1859614593598087e-65,-4.498155251826364e-49,1.0,-1.7701757786882002e-49,-7.710147081656611e+16,-3.0342028787313504e+16,-0.0095494656020949,-41.92752578976955,-1.858078361338082,-1.7033461800330246e-09,3.763473399382836e-55,-4.3430883807015934e-72,-0.0,2.5461945470917855e-66
0.5527789402469427,1.8090414217901831,0.5117817008212027,6.212496429637806e-32,0.3721469957922861,-0.6599922780557724,-0.0096649501399816,0.4375440996158477,0.4938615443059853,-0.05014160848610019,-0.4506210987529996,2.1781394808585405e-63,2.1781394798977926e-63,1.842770038447961e-47,1.0,7.255828877524352e-48,1.7193220889175206e+16,6769757811473839.0,-0.0096649501399816,-39.65622613110121,-1.7899300504433855,-1.4435132775518153e-09,1.5050168440432345e-53,9.89281079169645e-70,-0.0,4.185563740235413e-64
0.5528196237160217,1.8089082896118225,0.5118417010206033,6.257516662425394e-31,0.3658471705107022,-0.6623157053045073,-0.0097705227382426,0.4375093708299597,0.49382979635050384,-0.05016523919154279,-0.4507417567265392,2.209855949277556e-61,2.2098559469201033e-61,3.5450517687283325e-45,1.0,1.3965296323129174e-45,3.259193089927326e+16,1.2839191144296578e+16,-0.0097705227382426,-37.7609317415075,-1.7293965945359682,-3.490696648183675e-09,5.180956189516112e-52,2.00743899458971e-68,-2.413018457721404e-77,9.227095423654861e-63
0.5528625620571327,1.8087677998653493,0.5119050345644152,6.152514275371015e-30,0.3595211221637258,-0.6646399313515449,-0.0098780852051,0.4374727171545497,0.49379626946454563,-0.05019019467538885,-0.4508691631858415,2.136348477282896e-59,2.1363484754982148e-59,3.509946418337974e-43,1.0,1.383366667141133e-43,3.3369744405591096e+16,1.3151936411488738e+16,-0.0098780852051,-35.65117698706348,-1.6678351746968394,-2.7330918064751714e-09,2.9794379226350794e-50,6.6321147617096e-67,3.089402270973131e-75,2.794758322436258e-60
0.5529054949321048,1.8086273498200576,0.511968368108227,5.247298520081148e-29,0.3535316209141932,-0.666830775017047,-0.0099818436830598,0.43743606808654567,0.49376272673464294,-0.05021516266564108,-0.45099661615615433,1.5539794160796196e-57,1.5539794160560556e-57,-1.5082457928363652e-41,1.0,-5.947616522152446e-42,-1.9707175182815588e+16,-7771327543493081.0,-0.0099818436830598,-33.532698305506656,-1.6091958894841372,-4.9602772410339835e-11,9.130430066523014e-49,-3.022829143771935e-65,-1.977690229423394e-73,-1.1671784390321449e-58
